"block_id","corridor","start_time","end_time","duration_minutes","capacity","status"
"BLK-024","Goa: Madgaon-Vasco","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-025","Gujarat: Ahmedabad-Vadodara","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-026","Gujarat: Ahmedabad-Vadodara","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-027","Gujarat: Ahmedabad-Vadodara","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-028","Gujarat: Ahmedabad-Vadodara","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-029","Haryana: Ambala-Faridabad","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-030","Haryana: Ambala-Faridabad","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-031","Haryana: Ambala-Faridabad","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-032","Haryana: Ambala-Faridabad","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-033","Himachal Pradesh: Shimla-Kalka","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-034","Himachal Pradesh: Shimla-Kalka","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-035","Himachal Pradesh: Shimla-Kalka","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-036","Himachal Pradesh: Shimla-Kalka","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-037","Jharkhand: Ranchi-Dhanbad","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-038","Jharkhand: Ranchi-Dhanbad","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-039","Jharkhand: Ranchi-Dhanbad","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-040","Jharkhand: Ranchi-Dhanbad","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-041","Karnataka: Bengaluru-Hubballi","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-042","Karnataka: Bengaluru-Hubballi","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-043","Karnataka: Bengaluru-Hubballi","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-044","Karnataka: Bengaluru-Hubballi","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-045","Kerala: Ernakulam-Thiruvananthapuram","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-046","Kerala: Ernakulam-Thiruvananthapuram","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-047","Kerala: Ernakulam-Thiruvananthapuram","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-048","Kerala: Ernakulam-Thiruvananthapuram","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-049","Madhya Pradesh: Bhopal-Jabalpur","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-050","Madhya Pradesh: Bhopal-Jabalpur","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-051","Madhya Pradesh: Bhopal-Jabalpur","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-052","Madhya Pradesh: Bhopal-Jabalpur","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-053","Maharashtra: Mumbai-Nagpur","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-054","Maharashtra: Mumbai-Nagpur","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-055","Maharashtra: Mumbai-Nagpur","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-056","Maharashtra: Mumbai-Nagpur","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-057","Manipur: Imphal-Jiribam","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-058","Manipur: Imphal-Jiribam","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-059","Manipur: Imphal-Jiribam","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-060","Manipur: Imphal-Jiribam","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-061","Meghalaya: Shillong-Guwahati","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-062","Meghalaya: Shillong-Guwahati","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-063","Meghalaya: Shillong-Guwahati","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-064","Meghalaya: Shillong-Guwahati","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-065","Mizoram: Aizawl-Kolasib","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-066","Mizoram: Aizawl-Kolasib","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-067","Mizoram: Aizawl-Kolasib","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-068","Mizoram: Aizawl-Kolasib","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-069","Nagaland: Dimapur-Kohima","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-070","Nagaland: Dimapur-Kohima","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-071","Nagaland: Dimapur-Kohima","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-072","Nagaland: Dimapur-Kohima","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-073","Odisha: Bhubaneswar-Cuttack","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-074","Odisha: Bhubaneswar-Cuttack","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-075","Odisha: Bhubaneswar-Cuttack","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-076","Odisha: Bhubaneswar-Cuttack","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-077","Punjab: Ludhiana-Amritsar","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-078","Punjab: Ludhiana-Amritsar","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-079","Punjab: Ludhiana-Amritsar","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-080","Punjab: Ludhiana-Amritsar","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-081","Rajasthan: Jaipur-Jodhpur","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-082","Rajasthan: Jaipur-Jodhpur","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-083","Rajasthan: Jaipur-Jodhpur","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-084","Rajasthan: Jaipur-Jodhpur","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-085","Sikkim: Gangtok-Rangpo","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-086","Sikkim: Gangtok-Rangpo","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-087","Sikkim: Gangtok-Rangpo","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-088","Sikkim: Gangtok-Rangpo","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-089","Tamil Nadu: Chennai-Madurai","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-090","Tamil Nadu: Chennai-Madurai","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-091","Tamil Nadu: Chennai-Madurai","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-092","Tamil Nadu: Chennai-Madurai","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-093","Telangana: Hyderabad-Warangal","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-094","Telangana: Hyderabad-Warangal","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-095","Telangana: Hyderabad-Warangal","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-096","Telangana: Hyderabad-Warangal","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-097","Tripura: Agartala-Dharmanagar","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-098","Tripura: Agartala-Dharmanagar","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-099","Tripura: Agartala-Dharmanagar","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-100","Tripura: Agartala-Dharmanagar","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-101","Uttar Pradesh: Lucknow-Varanasi","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-102","Uttar Pradesh: Lucknow-Varanasi","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-103","Uttar Pradesh: Lucknow-Varanasi","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-104","Uttar Pradesh: Lucknow-Varanasi","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-105","Uttarakhand: Dehradun-Haridwar","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-106","Uttarakhand: Dehradun-Haridwar","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-107","Uttarakhand: Dehradun-Haridwar","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-108","Uttarakhand: Dehradun-Haridwar","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-109","West Bengal: Kolkata-Siliguri","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-110","West Bengal: Kolkata-Siliguri","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-111","West Bengal: Kolkata-Siliguri","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-112","West Bengal: Kolkata-Siliguri","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
