"asset_id","asset_code","asset_type","department","location_id","criticality","condition","last_maintenance","next_maintenance","status"
"AST-0042","ST-AXC-0042","Axle Counter","Signal & Telecommunication","LOC-007","High","Critical","2026-05-22","2026-09-20","Under Observation"
"AST-0043","ENG-TRK-0043","Track","Engineering","LOC-008","Critical","Good","2026-06-23","2026-10-21","Maintenance In Progress"
"AST-0044","ENG-TO-0044","Turnout","Engineering","LOC-008","Medium","Fair","2026-07-24","2026-11-22","Operational"
"AST-0045","TD-OHE-0045","OHE Mast","Traction Distribution","LOC-008","High","Poor","2026-03-25","2026-09-23","Operational"
"AST-0046","TD-TSS-0046","Traction Substation","Traction Distribution","LOC-008","High","Critical","2026-04-26","2026-10-24","Under Observation"
"AST-0047","ST-SIG-0047","Signal","Signal & Telecommunication","LOC-008","Critical","Good","2026-05-27","2026-11-25","Maintenance In Progress"
"AST-0048","ST-AXC-0048","Axle Counter","Signal & Telecommunication","LOC-008","Medium","Fair","2026-06-04","2026-09-26","Operational"
"AST-0049","ENG-TRK-0049","Track","Engineering","LOC-009","High","Poor","2026-07-05","2026-10-27","Operational"
"AST-0050","ENG-TO-0050","Turnout","Engineering","LOC-009","High","Critical","2026-03-06","2026-11-03","Under Observation"
"AST-0051","TD-OHE-0051","OHE Mast","Traction Distribution","LOC-009","Critical","Good","2026-04-07","2026-09-04","Maintenance In Progress"
"AST-0052","TD-TSS-0052","Traction Substation","Traction Distribution","LOC-009","Medium","Fair","2026-05-08","2026-10-05","Operational"
"AST-0053","ST-SIG-0053","Signal","Signal & Telecommunication","LOC-009","High","Poor","2026-06-09","2026-11-06","Operational"
"AST-0054","ST-AXC-0054","Axle Counter","Signal & Telecommunication","LOC-009","High","Critical","2026-07-10","2026-09-07","Under Observation"
"AST-0055","ENG-TRK-0055","Track","Engineering","LOC-010","Critical","Good","2026-03-11","2026-10-08","Maintenance In Progress"
"AST-0056","ENG-TO-0056","Turnout","Engineering","LOC-010","Medium","Fair","2026-04-12","2026-11-09","Operational"
"AST-0057","TD-OHE-0057","OHE Mast","Traction Distribution","LOC-010","High","Poor","2026-05-13","2026-09-10","Operational"
"AST-0058","TD-TSS-0058","Traction Substation","Traction Distribution","LOC-010","High","Critical","2026-06-14","2026-10-11","Under Observation"
"AST-0059","ST-SIG-0059","Signal","Signal & Telecommunication","LOC-010","Critical","Good","2026-07-15","2026-11-12","Maintenance In Progress"
"AST-0060","ST-AXC-0060","Axle Counter","Signal & Telecommunication","LOC-010","Medium","Fair","2026-03-16","2026-09-13","Operational"
"AST-0061","ENG-TRK-0061","Track","Engineering","LOC-011","High","Poor","2026-04-17","2026-10-14","Operational"
"AST-0062","ENG-TO-0062","Turnout","Engineering","LOC-011","High","Critical","2026-05-18","2026-11-15","Under Observation"
"AST-0063","TD-OHE-0063","OHE Mast","Traction Distribution","LOC-011","Critical","Good","2026-06-19","2026-09-16","Maintenance In Progress"
"AST-0064","TD-TSS-0064","Traction Substation","Traction Distribution","LOC-011","Medium","Fair","2026-07-20","2026-10-17","Operational"
"AST-0065","ST-SIG-0065","Signal","Signal & Telecommunication","LOC-011","High","Poor","2026-03-21","2026-11-18","Operational"
"AST-0066","ST-AXC-0066","Axle Counter","Signal & Telecommunication","LOC-011","High","Critical","2026-04-22","2026-09-19","Under Observation"
"AST-0067","ENG-TRK-0067","Track","Engineering","LOC-012","Critical","Good","2026-05-23","2026-10-20","Maintenance In Progress"
"AST-0068","ENG-TO-0068","Turnout","Engineering","LOC-012","Medium","Fair","2026-06-24","2026-11-21","Operational"
"AST-0069","TD-OHE-0069","OHE Mast","Traction Distribution","LOC-012","High","Poor","2026-07-25","2026-09-22","Operational"
"AST-0070","TD-TSS-0070","Traction Substation","Traction Distribution","LOC-012","High","Critical","2026-03-26","2026-10-23","Under Observation"
"AST-0071","ST-SIG-0071","Signal","Signal & Telecommunication","LOC-012","Critical","Good","2026-04-27","2026-11-24","Maintenance In Progress"
"AST-0072","ST-AXC-0072","Axle Counter","Signal & Telecommunication","LOC-012","Medium","Fair","2026-05-04","2026-09-25","Operational"
"AST-0073","ENG-TRK-0073","Track","Engineering","LOC-013","High","Poor","2026-06-05","2026-10-26","Operational"
"AST-0074","ENG-TO-0074","Turnout","Engineering","LOC-013","High","Critical","2026-07-06","2026-11-27","Under Observation"
"AST-0075","TD-OHE-0075","OHE Mast","Traction Distribution","LOC-013","Critical","Good","2026-03-07","2026-09-03","Maintenance In Progress"
"AST-0076","TD-TSS-0076","Traction Substation","Traction Distribution","LOC-013","Medium","Fair","2026-04-08","2026-10-04","Operational"
"AST-0077","ST-SIG-0077","Signal","Signal & Telecommunication","LOC-013","High","Poor","2026-05-09","2026-11-05","Operational"
"AST-0078","ST-AXC-0078","Axle Counter","Signal & Telecommunication","LOC-013","High","Critical","2026-06-10","2026-09-06","Under Observation"
"AST-0079","ENG-TRK-0079","Track","Engineering","LOC-014","Critical","Good","2026-07-11","2026-10-07","Maintenance In Progress"
"AST-0080","ENG-TO-0080","Turnout","Engineering","LOC-014","Medium","Fair","2026-03-12","2026-11-08","Operational"
"AST-0081","TD-OHE-0081","OHE Mast","Traction Distribution","LOC-014","High","Poor","2026-04-13","2026-09-09","Operational"
"AST-0082","TD-TSS-0082","Traction Substation","Traction Distribution","LOC-014","High","Critical","2026-05-14","2026-10-10","Under Observation"
"AST-0083","ST-SIG-0083","Signal","Signal & Telecommunication","LOC-014","Critical","Good","2026-06-15","2026-11-11","Maintenance In Progress"
"AST-0084","ST-AXC-0084","Axle Counter","Signal & Telecommunication","LOC-014","Medium","Fair","2026-07-16","2026-09-12","Operational"
"AST-0085","ENG-TRK-0085","Track","Engineering","LOC-015","High","Poor","2026-03-17","2026-10-13","Operational"
"AST-0086","ENG-TO-0086","Turnout","Engineering","LOC-015","High","Critical","2026-04-18","2026-11-14","Under Observation"
"AST-0087","TD-OHE-0087","OHE Mast","Traction Distribution","LOC-015","Critical","Good","2026-05-19","2026-09-15","Maintenance In Progress"
"AST-0088","TD-TSS-0088","Traction Substation","Traction Distribution","LOC-015","Medium","Fair","2026-06-20","2026-10-16","Operational"
"AST-0089","ST-SIG-0089","Signal","Signal & Telecommunication","LOC-015","High","Poor","2026-07-21","2026-11-17","Operational"
"AST-0090","ST-AXC-0090","Axle Counter","Signal & Telecommunication","LOC-015","High","Critical","2026-03-22","2026-09-18","Under Observation"
"AST-0091","ENG-TRK-0091","Track","Engineering","LOC-016","Critical","Good","2026-04-23","2026-10-19","Maintenance In Progress"
"AST-0092","ENG-TO-0092","Turnout","Engineering","LOC-016","Medium","Fair","2026-05-24","2026-11-20","Operational"
"AST-0093","TD-OHE-0093","OHE Mast","Traction Distribution","LOC-016","High","Poor","2026-06-25","2026-09-21","Operational"
"AST-0094","TD-TSS-0094","Traction Substation","Traction Distribution","LOC-016","High","Critical","2026-07-26","2026-10-22","Under Observation"
"AST-0095","ST-SIG-0095","Signal","Signal & Telecommunication","LOC-016","Critical","Good","2026-03-27","2026-11-23","Maintenance In Progress"
"AST-0096","ST-AXC-0096","Axle Counter","Signal & Telecommunication","LOC-016","Medium","Fair","2026-04-04","2026-09-24","Operational"
"AST-0097","ENG-TRK-0097","Track","Engineering","LOC-017","High","Poor","2026-05-05","2026-10-25","Operational"
"AST-0098","ENG-TO-0098","Turnout","Engineering","LOC-017","High","Critical","2026-06-06","2026-11-26","Under Observation"
"AST-0099","TD-OHE-0099","OHE Mast","Traction Distribution","LOC-017","Critical","Good","2026-07-07","2026-09-27","Maintenance In Progress"
"AST-0100","TD-TSS-0100","Traction Substation","Traction Distribution","LOC-017","Medium","Fair","2026-03-08","2026-10-03","Operational"
"AST-0101","ST-SIG-0101","Signal","Signal & Telecommunication","LOC-017","High","Poor","2026-04-09","2026-11-04","Operational"
"AST-0102","ST-AXC-0102","Axle Counter","Signal & Telecommunication","LOC-017","High","Critical","2026-05-10","2026-09-05","Under Observation"
"AST-0103","ENG-TRK-0103","Track","Engineering","LOC-018","Critical","Good","2026-06-11","2026-10-06","Maintenance In Progress"
"AST-0104","ENG-TO-0104","Turnout","Engineering","LOC-018","Medium","Fair","2026-07-12","2026-11-07","Operational"
"AST-0105","TD-OHE-0105","OHE Mast","Traction Distribution","LOC-018","High","Poor","2026-03-13","2026-09-08","Operational"
"AST-0106","TD-TSS-0106","Traction Substation","Traction Distribution","LOC-018","High","Critical","2026-04-14","2026-10-09","Under Observation"
"AST-0107","ST-SIG-0107","Signal","Signal & Telecommunication","LOC-018","Critical","Good","2026-05-15","2026-11-10","Maintenance In Progress"
"AST-0108","ST-AXC-0108","Axle Counter","Signal & Telecommunication","LOC-018","Medium","Fair","2026-06-16","2026-09-11","Operational"
"AST-0109","ENG-TRK-0109","Track","Engineering","LOC-019","High","Poor","2026-07-17","2026-10-12","Operational"
"AST-0110","ENG-TO-0110","Turnout","Engineering","LOC-019","High","Critical","2026-03-18","2026-11-13","Under Observation"
"AST-0111","TD-OHE-0111","OHE Mast","Traction Distribution","LOC-019","Critical","Good","2026-04-19","2026-09-14","Maintenance In Progress"
"AST-0112","TD-TSS-0112","Traction Substation","Traction Distribution","LOC-019","Medium","Fair","2026-05-20","2026-10-15","Operational"
"AST-0113","ST-SIG-0113","Signal","Signal & Telecommunication","LOC-019","High","Poor","2026-06-21","2026-11-16","Operational"
"AST-0114","ST-AXC-0114","Axle Counter","Signal & Telecommunication","LOC-019","High","Critical","2026-07-22","2026-09-17","Under Observation"
"AST-0115","ENG-TRK-0115","Track","Engineering","LOC-020","Critical","Good","2026-03-23","2026-10-18","Maintenance In Progress"
"AST-0116","ENG-TO-0116","Turnout","Engineering","LOC-020","Medium","Fair","2026-04-24","2026-11-19","Operational"
"AST-0117","TD-OHE-0117","OHE Mast","Traction Distribution","LOC-020","High","Poor","2026-05-25","2026-09-20","Operational"
"AST-0118","TD-TSS-0118","Traction Substation","Traction Distribution","LOC-020","High","Critical","2026-06-26","2026-10-21","Under Observation"
"AST-0119","ST-SIG-0119","Signal","Signal & Telecommunication","LOC-020","Critical","Good","2026-07-27","2026-11-22","Maintenance In Progress"
"AST-0120","ST-AXC-0120","Axle Counter","Signal & Telecommunication","LOC-020","Medium","Fair","2026-03-04","2026-09-23","Operational"
"AST-0121","ENG-TRK-0121","Track","Engineering","LOC-021","High","Poor","2026-04-05","2026-10-24","Operational"
"AST-0122","ENG-TO-0122","Turnout","Engineering","LOC-021","High","Critical","2026-05-06","2026-11-25","Under Observation"
"AST-0123","TD-OHE-0123","OHE Mast","Traction Distribution","LOC-021","Critical","Good","2026-06-07","2026-09-26","Maintenance In Progress"
"AST-0124","TD-TSS-0124","Traction Substation","Traction Distribution","LOC-021","Medium","Fair","2026-07-08","2026-10-27","Operational"
"AST-0125","ST-SIG-0125","Signal","Signal & Telecommunication","LOC-021","High","Poor","2026-03-09","2026-11-03","Operational"
"AST-0126","ST-AXC-0126","Axle Counter","Signal & Telecommunication","LOC-021","High","Critical","2026-04-10","2026-09-04","Under Observation"
"AST-0127","ENG-TRK-0127","Track","Engineering","LOC-022","Critical","Good","2026-05-11","2026-10-05","Maintenance In Progress"
"AST-0128","ENG-TO-0128","Turnout","Engineering","LOC-022","Medium","Fair","2026-06-12","2026-11-06","Operational"
"AST-0129","TD-OHE-0129","OHE Mast","Traction Distribution","LOC-022","High","Poor","2026-07-13","2026-09-07","Operational"
"AST-0130","TD-TSS-0130","Traction Substation","Traction Distribution","LOC-022","High","Critical","2026-03-14","2026-10-08","Under Observation"
"AST-0131","ST-SIG-0131","Signal","Signal & Telecommunication","LOC-022","Critical","Good","2026-04-15","2026-11-09","Maintenance In Progress"
"AST-0132","ST-AXC-0132","Axle Counter","Signal & Telecommunication","LOC-022","Medium","Fair","2026-05-16","2026-09-10","Operational"
"AST-0133","ENG-TRK-0133","Track","Engineering","LOC-023","High","Poor","2026-06-17","2026-10-11","Operational"
"AST-0134","ENG-TO-0134","Turnout","Engineering","LOC-023","High","Critical","2026-07-18","2026-11-12","Under Observation"
"AST-0135","TD-OHE-0135","OHE Mast","Traction Distribution","LOC-023","Critical","Good","2026-03-19","2026-09-13","Maintenance In Progress"
"AST-0136","TD-TSS-0136","Traction Substation","Traction Distribution","LOC-023","Medium","Fair","2026-04-20","2026-10-14","Operational"
"AST-0137","ST-SIG-0137","Signal","Signal & Telecommunication","LOC-023","High","Poor","2026-05-21","2026-11-15","Operational"
"AST-0138","ST-AXC-0138","Axle Counter","Signal & Telecommunication","LOC-023","High","Critical","2026-06-22","2026-09-16","Under Observation"
"AST-0139","ENG-TRK-0139","Track","Engineering","LOC-024","Critical","Good","2026-07-23","2026-10-17","Maintenance In Progress"
"AST-0140","ENG-TO-0140","Turnout","Engineering","LOC-024","Medium","Fair","2026-03-24","2026-11-18","Operational"
"AST-0141","TD-OHE-0141","OHE Mast","Traction Distribution","LOC-024","High","Poor","2026-04-25","2026-09-19","Operational"
"AST-0142","TD-TSS-0142","Traction Substation","Traction Distribution","LOC-024","High","Critical","2026-05-26","2026-10-20","Under Observation"
"AST-0143","ST-SIG-0143","Signal","Signal & Telecommunication","LOC-024","Critical","Good","2026-06-27","2026-11-21","Maintenance In Progress"
"AST-0144","ST-AXC-0144","Axle Counter","Signal & Telecommunication","LOC-024","Medium","Fair","2026-07-04","2026-09-22","Operational"
"AST-0145","ENG-TRK-0145","Track","Engineering","LOC-025","High","Poor","2026-03-05","2026-10-23","Operational"
"AST-0146","ENG-TO-0146","Turnout","Engineering","LOC-025","High","Critical","2026-04-06","2026-11-24","Under Observation"
"AST-0147","TD-OHE-0147","OHE Mast","Traction Distribution","LOC-025","Critical","Good","2026-05-07","2026-09-25","Maintenance In Progress"
"AST-0148","TD-TSS-0148","Traction Substation","Traction Distribution","LOC-025","Medium","Fair","2026-06-08","2026-10-26","Operational"
"AST-0149","ST-SIG-0149","Signal","Signal & Telecommunication","LOC-025","High","Poor","2026-07-09","2026-11-27","Operational"
"AST-0150","ST-AXC-0150","Axle Counter","Signal & Telecommunication","LOC-025","High","Critical","2026-03-10","2026-09-03","Under Observation"
"AST-0151","ENG-TRK-0151","Track","Engineering","LOC-026","Critical","Good","2026-04-11","2026-10-04","Maintenance In Progress"
"AST-0152","ENG-TO-0152","Turnout","Engineering","LOC-026","Medium","Fair","2026-05-12","2026-11-05","Operational"
"AST-0153","TD-OHE-0153","OHE Mast","Traction Distribution","LOC-026","High","Poor","2026-06-13","2026-09-06","Operational"
"AST-0154","TD-TSS-0154","Traction Substation","Traction Distribution","LOC-026","High","Critical","2026-07-14","2026-10-07","Under Observation"
"AST-0155","ST-SIG-0155","Signal","Signal & Telecommunication","LOC-026","Critical","Good","2026-03-15","2026-11-08","Maintenance In Progress"
"AST-0156","ST-AXC-0156","Axle Counter","Signal & Telecommunication","LOC-026","Medium","Fair","2026-04-16","2026-09-09","Operational"
"AST-0157","ENG-TRK-0157","Track","Engineering","LOC-027","High","Poor","2026-05-17","2026-10-10","Operational"
"AST-0158","ENG-TO-0158","Turnout","Engineering","LOC-027","High","Critical","2026-06-18","2026-11-11","Under Observation"
"AST-0159","TD-OHE-0159","OHE Mast","Traction Distribution","LOC-027","Critical","Good","2026-07-19","2026-09-12","Maintenance In Progress"
"AST-0160","TD-TSS-0160","Traction Substation","Traction Distribution","LOC-027","Medium","Fair","2026-03-20","2026-10-13","Operational"
"AST-0161","ST-SIG-0161","Signal","Signal & Telecommunication","LOC-027","High","Poor","2026-04-21","2026-11-14","Operational"
"AST-0162","ST-AXC-0162","Axle Counter","Signal & Telecommunication","LOC-027","High","Critical","2026-05-22","2026-09-15","Under Observation"
"AST-0163","ENG-TRK-0163","Track","Engineering","LOC-028","Critical","Good","2026-06-23","2026-10-16","Maintenance In Progress"
"AST-0164","ENG-TO-0164","Turnout","Engineering","LOC-028","Medium","Fair","2026-07-24","2026-11-17","Operational"
"AST-0165","TD-OHE-0165","OHE Mast","Traction Distribution","LOC-028","High","Poor","2026-03-25","2026-09-18","Operational"
"AST-0166","TD-TSS-0166","Traction Substation","Traction Distribution","LOC-028","High","Critical","2026-04-26","2026-10-19","Under Observation"
"AST-0167","ST-SIG-0167","Signal","Signal & Telecommunication","LOC-028","Critical","Good","2026-05-27","2026-11-20","Maintenance In Progress"
"AST-0168","ST-AXC-0168","Axle Counter","Signal & Telecommunication","LOC-028","Medium","Fair","2026-06-04","2026-09-21","Operational"
"AST-0169","ENG-TRK-0169","Track","Engineering","LOC-029","High","Poor","2026-07-05","2026-10-22","Operational"
"AST-0170","ENG-TO-0170","Turnout","Engineering","LOC-029","High","Critical","2026-03-06","2026-11-23","Under Observation"
"AST-0171","TD-OHE-0171","OHE Mast","Traction Distribution","LOC-029","Critical","Good","2026-04-07","2026-09-24","Maintenance In Progress"
"AST-0172","TD-TSS-0172","Traction Substation","Traction Distribution","LOC-029","Medium","Fair","2026-05-08","2026-10-25","Operational"
"AST-0173","ST-SIG-0173","Signal","Signal & Telecommunication","LOC-029","High","Poor","2026-06-09","2026-11-26","Operational"
"AST-0174","ST-AXC-0174","Axle Counter","Signal & Telecommunication","LOC-029","High","Critical","2026-07-10","2026-09-27","Under Observation"
"AST-0175","ENG-TRK-0175","Track","Engineering","LOC-030","Critical","Good","2026-03-11","2026-10-03","Maintenance In Progress"
"AST-0176","ENG-TO-0176","Turnout","Engineering","LOC-030","Medium","Fair","2026-04-12","2026-11-04","Operational"
"AST-0177","TD-OHE-0177","OHE Mast","Traction Distribution","LOC-030","High","Poor","2026-05-13","2026-09-05","Operational"
"AST-0178","TD-TSS-0178","Traction Substation","Traction Distribution","LOC-030","High","Critical","2026-06-14","2026-10-06","Under Observation"
"AST-0179","ST-SIG-0179","Signal","Signal & Telecommunication","LOC-030","Critical","Good","2026-07-15","2026-11-07","Maintenance In Progress"
"AST-0180","ST-AXC-0180","Axle Counter","Signal & Telecommunication","LOC-030","Medium","Fair","2026-03-16","2026-09-08","Operational"
"AST-0181","ENG-TRK-0181","Track","Engineering","LOC-031","High","Poor","2026-04-17","2026-10-09","Operational"
"AST-0182","ENG-TO-0182","Turnout","Engineering","LOC-031","High","Critical","2026-05-18","2026-11-10","Under Observation"
"AST-0183","TD-OHE-0183","OHE Mast","Traction Distribution","LOC-031","Critical","Good","2026-06-19","2026-09-11","Maintenance In Progress"
"AST-0184","TD-TSS-0184","Traction Substation","Traction Distribution","LOC-031","Medium","Fair","2026-07-20","2026-10-12","Operational"
"AST-0185","ST-SIG-0185","Signal","Signal & Telecommunication","LOC-031","High","Poor","2026-03-21","2026-11-13","Operational"
"AST-0186","ST-AXC-0186","Axle Counter","Signal & Telecommunication","LOC-031","High","Critical","2026-04-22","2026-09-14","Under Observation"
"AST-0187","ENG-TRK-0187","Track","Engineering","LOC-032","Critical","Good","2026-05-23","2026-10-15","Maintenance In Progress"
"AST-0188","ENG-TO-0188","Turnout","Engineering","LOC-032","Medium","Fair","2026-06-24","2026-11-16","Operational"
"AST-0189","TD-OHE-0189","OHE Mast","Traction Distribution","LOC-032","High","Poor","2026-07-25","2026-09-17","Operational"
"AST-0190","TD-TSS-0190","Traction Substation","Traction Distribution","LOC-032","High","Critical","2026-03-26","2026-10-18","Under Observation"
"AST-0191","ST-SIG-0191","Signal","Signal & Telecommunication","LOC-032","Critical","Good","2026-04-27","2026-11-19","Maintenance In Progress"
"AST-0192","ST-AXC-0192","Axle Counter","Signal & Telecommunication","LOC-032","Medium","Fair","2026-05-04","2026-09-20","Operational"
"AST-0193","ENG-TRK-0193","Track","Engineering","LOC-033","High","Poor","2026-06-05","2026-10-21","Operational"
"AST-0194","ENG-TO-0194","Turnout","Engineering","LOC-033","High","Critical","2026-07-06","2026-11-22","Under Observation"
"AST-0195","TD-OHE-0195","OHE Mast","Traction Distribution","LOC-033","Critical","Good","2026-03-07","2026-09-23","Maintenance In Progress"
"AST-0196","TD-TSS-0196","Traction Substation","Traction Distribution","LOC-033","Medium","Fair","2026-04-08","2026-10-24","Operational"
"AST-0197","ST-SIG-0197","Signal","Signal & Telecommunication","LOC-033","High","Poor","2026-05-09","2026-11-25","Operational"
"AST-0198","ST-AXC-0198","Axle Counter","Signal & Telecommunication","LOC-033","High","Critical","2026-06-10","2026-09-26","Under Observation"
"AST-0199","ENG-TRK-0199","Track","Engineering","LOC-034","Critical","Good","2026-07-11","2026-10-27","Maintenance In Progress"
"AST-0200","ENG-TO-0200","Turnout","Engineering","LOC-034","Medium","Fair","2026-03-12","2026-11-03","Operational"
"AST-0201","TD-OHE-0201","OHE Mast","Traction Distribution","LOC-034","High","Poor","2026-04-13","2026-09-04","Operational"
"AST-0202","TD-TSS-0202","Traction Substation","Traction Distribution","LOC-034","High","Critical","2026-05-14","2026-10-05","Under Observation"
"AST-0203","ST-SIG-0203","Signal","Signal & Telecommunication","LOC-034","Critical","Good","2026-06-15","2026-11-06","Maintenance In Progress"
"AST-0204","ST-AXC-0204","Axle Counter","Signal & Telecommunication","LOC-034","Medium","Fair","2026-07-16","2026-09-07","Operational"
"AST-0205","ENG-TRK-0205","Track","Engineering","LOC-035","High","Poor","2026-03-17","2026-10-08","Operational"
"AST-0206","ENG-TO-0206","Turnout","Engineering","LOC-035","High","Critical","2026-04-18","2026-11-09","Under Observation"
"AST-0207","TD-OHE-0207","OHE Mast","Traction Distribution","LOC-035","Critical","Good","2026-05-19","2026-09-10","Maintenance In Progress"
"AST-0208","TD-TSS-0208","Traction Substation","Traction Distribution","LOC-035","Medium","Fair","2026-06-20","2026-10-11","Operational"
"AST-0209","ST-SIG-0209","Signal","Signal & Telecommunication","LOC-035","High","Poor","2026-07-21","2026-11-12","Operational"
"AST-0210","ST-AXC-0210","Axle Counter","Signal & Telecommunication","LOC-035","High","Critical","2026-03-22","2026-09-13","Under Observation"
"AST-0211","ENG-TRK-0211","Track","Engineering","LOC-036","Critical","Good","2026-04-23","2026-10-14","Maintenance In Progress"
"AST-0212","ENG-TO-0212","Turnout","Engineering","LOC-036","Medium","Fair","2026-05-24","2026-11-15","Operational"
"AST-0213","TD-OHE-0213","OHE Mast","Traction Distribution","LOC-036","High","Poor","2026-06-25","2026-09-16","Operational"
"AST-0214","TD-TSS-0214","Traction Substation","Traction Distribution","LOC-036","High","Critical","2026-07-26","2026-10-17","Under Observation"
"AST-0215","ST-SIG-0215","Signal","Signal & Telecommunication","LOC-036","Critical","Good","2026-03-27","2026-11-18","Maintenance In Progress"
