"task_id","asset_id","location_id","corridor","task_type","description","severity","failure_probability","asset_criticality","traffic_impact","estimated_duration_minutes","required_department","earliest_start","deadline","status","priority_score"
"TSK-0011","AST-0006","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-001","Critical","0.23","High","High","80","Signal & Telecommunication","2026-09-02 09:00:00","2026-09-15 09:00:00","Pending",""
"TSK-0012","AST-0006","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-001","Medium","0.24","High","Low","97","Signal & Telecommunication","2026-09-02 12:00:00","2026-09-16 12:00:00","Pending",""
"TSK-0013","AST-0007","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-002","Medium","0.25","Critical","Medium","43","Engineering","2026-09-02 15:00:00","2026-09-17 15:00:00","In Progress",""
"TSK-0014","AST-0007","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-002","Critical","0.26","Critical","High","60","Engineering","2026-09-02 18:00:00","2026-09-04 18:00:00","Pending",""
"TSK-0015","AST-0008","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-002","Critical","0.27","Medium","Low","77","Engineering","2026-09-02 21:00:00","2026-09-05 21:00:00","Pending",""
"TSK-0016","AST-0008","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-002","Medium","0.28","Medium","Medium","94","Engineering","2026-09-03 00:00:00","2026-09-07 00:00:00","Pending",""
"TSK-0017","AST-0009","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-002","Medium","0.29","High","High","40","Traction Distribution","2026-09-03 03:00:00","2026-09-08 03:00:00","Scheduled",""
"TSK-0018","AST-0009","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-002","Critical","0.3","High","Low","57","Traction Distribution","2026-09-03 06:00:00","2026-09-09 06:00:00","Pending",""
"TSK-0019","AST-0010","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-002","Critical","0.31","High","Medium","74","Traction Distribution","2026-09-03 09:00:00","2026-09-10 09:00:00","Pending",""
"TSK-0020","AST-0010","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-002","Medium","0.32","High","High","91","Traction Distribution","2026-09-03 12:00:00","2026-09-11 12:00:00","Pending",""
"TSK-0021","AST-0011","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-002","Medium","0.33","Critical","Low","37","Signal & Telecommunication","2026-09-03 15:00:00","2026-09-12 15:00:00","Pending",""
"TSK-0022","AST-0011","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-002","Critical","0.34","Critical","Medium","54","Signal & Telecommunication","2026-09-03 18:00:00","2026-09-13 18:00:00","Pending",""
"TSK-0023","AST-0012","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-002","Critical","0.35","Medium","High","71","Signal & Telecommunication","2026-09-03 21:00:00","2026-09-14 21:00:00","Pending",""
"TSK-0024","AST-0012","LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-002","Medium","0.36","Medium","Low","88","Signal & Telecommunication","2026-09-04 00:00:00","2026-09-16 00:00:00","Pending",""
"TSK-0025","AST-0013","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-003","Medium","0.37","High","Medium","105","Engineering","2026-09-04 03:00:00","2026-09-17 03:00:00","Pending",""
"TSK-0026","AST-0013","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-003","Critical","0.38","High","High","51","Engineering","2026-09-04 06:00:00","2026-09-18 06:00:00","In Progress",""
"TSK-0027","AST-0014","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-003","Critical","0.39","High","Low","68","Engineering","2026-09-04 09:00:00","2026-09-19 09:00:00","Pending",""
"TSK-0028","AST-0014","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-003","Medium","0.4","High","Medium","85","Engineering","2026-09-04 12:00:00","2026-09-06 12:00:00","Pending",""
"TSK-0029","AST-0015","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-003","Medium","0.41","Critical","High","102","Traction Distribution","2026-09-04 15:00:00","2026-09-07 15:00:00","Pending",""
"TSK-0030","AST-0015","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-003","Critical","0.42","Critical","Low","48","Traction Distribution","2026-09-04 18:00:00","2026-09-08 18:00:00","Pending",""
"TSK-0031","AST-0016","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-003","Critical","0.43","Medium","Medium","65","Traction Distribution","2026-09-04 21:00:00","2026-09-09 21:00:00","Pending",""
"TSK-0032","AST-0016","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-003","Medium","0.44","Medium","High","82","Traction Distribution","2026-09-05 00:00:00","2026-09-11 00:00:00","Pending",""
"TSK-0033","AST-0017","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-003","Medium","0.45","High","Low","99","Signal & Telecommunication","2026-09-05 03:00:00","2026-09-12 03:00:00","Pending",""
"TSK-0034","AST-0017","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-003","Critical","0.46","High","Medium","45","Signal & Telecommunication","2026-09-05 06:00:00","2026-09-13 06:00:00","Scheduled",""
"TSK-0035","AST-0018","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-003","Critical","0.47","High","High","62","Signal & Telecommunication","2026-09-05 09:00:00","2026-09-14 09:00:00","Pending",""
"TSK-0036","AST-0018","LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-003","Medium","0.48","High","Low","79","Signal & Telecommunication","2026-09-05 12:00:00","2026-09-15 12:00:00","Pending",""
"TSK-0037","AST-0019","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-004","Medium","0.49","Critical","Medium","96","Engineering","2026-09-05 15:00:00","2026-09-16 15:00:00","Pending",""
"TSK-0038","AST-0019","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-004","Critical","0.5","Critical","High","42","Engineering","2026-09-05 18:00:00","2026-09-17 18:00:00","Pending",""
"TSK-0039","AST-0020","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-004","Critical","0.51","Medium","Low","59","Engineering","2026-09-05 21:00:00","2026-09-18 21:00:00","In Progress",""
"TSK-0040","AST-0020","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-004","Medium","0.52","Medium","Medium","76","Engineering","2026-09-06 00:00:00","2026-09-20 00:00:00","Pending",""
"TSK-0041","AST-0021","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-004","Medium","0.53","High","High","93","Traction Distribution","2026-09-06 03:00:00","2026-09-21 03:00:00","Pending",""
"TSK-0042","AST-0021","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-004","Critical","0.54","High","Low","39","Traction Distribution","2026-09-06 06:00:00","2026-09-08 06:00:00","Pending",""
"TSK-0043","AST-0022","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-004","Critical","0.55","High","Medium","56","Traction Distribution","2026-09-06 09:00:00","2026-09-09 09:00:00","Pending",""
"TSK-0044","AST-0022","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-004","Medium","0.56","High","High","73","Traction Distribution","2026-09-06 12:00:00","2026-09-10 12:00:00","Pending",""
"TSK-0045","AST-0023","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-004","Medium","0.57","Critical","Low","90","Signal & Telecommunication","2026-09-06 15:00:00","2026-09-11 15:00:00","Pending",""
"TSK-0046","AST-0023","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-004","Critical","0.58","Critical","Medium","36","Signal & Telecommunication","2026-09-06 18:00:00","2026-09-12 18:00:00","Pending",""
"TSK-0047","AST-0024","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-004","Critical","0.59","Medium","High","53","Signal & Telecommunication","2026-09-06 21:00:00","2026-09-13 21:00:00","Pending",""
"TSK-0048","AST-0024","LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-004","Medium","0.6","Medium","Low","70","Signal & Telecommunication","2026-09-07 00:00:00","2026-09-15 00:00:00","Pending",""
"TSK-0049","AST-0025","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-005","Medium","0.61","High","Medium","87","Engineering","2026-09-07 03:00:00","2026-09-16 03:00:00","Pending",""
"TSK-0050","AST-0025","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-005","Critical","0.62","High","High","104","Engineering","2026-09-07 06:00:00","2026-09-17 06:00:00","Pending",""
"TSK-0051","AST-0026","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-005","Critical","0.63","High","Low","50","Engineering","2026-09-07 09:00:00","2026-09-18 09:00:00","Scheduled",""
"TSK-0052","AST-0026","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-005","Medium","0.64","High","Medium","67","Engineering","2026-09-07 12:00:00","2026-09-19 12:00:00","In Progress",""
"TSK-0053","AST-0027","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-005","Medium","0.65","Critical","High","84","Traction Distribution","2026-09-07 15:00:00","2026-09-20 15:00:00","Pending",""
"TSK-0054","AST-0027","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-005","Critical","0.66","Critical","Low","101","Traction Distribution","2026-09-07 18:00:00","2026-09-21 18:00:00","Pending",""
"TSK-0055","AST-0028","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-005","Critical","0.67","Medium","Medium","47","Traction Distribution","2026-09-07 21:00:00","2026-09-22 21:00:00","Pending",""
"TSK-0056","AST-0028","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-005","Medium","0.68","Medium","High","64","Traction Distribution","2026-09-08 00:00:00","2026-09-10 00:00:00","Pending",""
"TSK-0057","AST-0029","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-005","Medium","0.69","High","Low","81","Signal & Telecommunication","2026-09-08 03:00:00","2026-09-11 03:00:00","Pending",""
"TSK-0058","AST-0029","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-005","Critical","0.7","High","Medium","98","Signal & Telecommunication","2026-09-08 06:00:00","2026-09-12 06:00:00","Pending",""
"TSK-0059","AST-0030","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-005","Critical","0.71","High","High","44","Signal & Telecommunication","2026-09-08 09:00:00","2026-09-13 09:00:00","Pending",""
"TSK-0060","AST-0030","LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-005","Medium","0.72","High","Low","61","Signal & Telecommunication","2026-09-08 12:00:00","2026-09-14 12:00:00","Pending",""
"TSK-0061","AST-0031","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-006","Medium","0.73","Critical","Medium","78","Engineering","2026-09-08 15:00:00","2026-09-15 15:00:00","Pending",""
"TSK-0062","AST-0031","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-006","Critical","0.74","Critical","High","95","Engineering","2026-09-08 18:00:00","2026-09-16 18:00:00","Pending",""
"TSK-0063","AST-0032","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-006","Critical","0.75","Medium","Low","41","Engineering","2026-09-08 21:00:00","2026-09-17 21:00:00","Pending",""
"TSK-0064","AST-0032","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-006","Medium","0.76","Medium","Medium","58","Engineering","2026-09-09 00:00:00","2026-09-19 00:00:00","Pending",""
"TSK-0065","AST-0033","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-006","Medium","0.77","High","High","75","Traction Distribution","2026-09-09 03:00:00","2026-09-20 03:00:00","In Progress",""
"TSK-0066","AST-0033","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-006","Critical","0.78","High","Low","92","Traction Distribution","2026-09-09 06:00:00","2026-09-21 06:00:00","Pending",""
"TSK-0067","AST-0034","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-006","Critical","0.79","High","Medium","38","Traction Distribution","2026-09-09 09:00:00","2026-09-22 09:00:00","Pending",""
"TSK-0068","AST-0034","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-006","Medium","0.8","High","High","55","Traction Distribution","2026-09-09 12:00:00","2026-09-23 12:00:00","Scheduled",""
"TSK-0069","AST-0035","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-006","Medium","0.81","Critical","Low","72","Signal & Telecommunication","2026-09-09 15:00:00","2026-09-24 15:00:00","Pending",""
"TSK-0070","AST-0035","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-006","Critical","0.82","Critical","Medium","89","Signal & Telecommunication","2026-09-09 18:00:00","2026-09-11 18:00:00","Pending",""
"TSK-0071","AST-0036","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-006","Critical","0.83","Medium","High","35","Signal & Telecommunication","2026-09-09 21:00:00","2026-09-12 21:00:00","Pending",""
"TSK-0072","AST-0036","LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Axle Counter at LOC-006","Medium","0.84","Medium","Low","52","Signal & Telecommunication","2026-09-10 00:00:00","2026-09-14 00:00:00","Pending",""
"TSK-0073","AST-0037","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Track at LOC-007","Medium","0.85","High","Medium","69","Engineering","2026-09-10 03:00:00","2026-09-15 03:00:00","Pending",""
"TSK-0074","AST-0037","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Track at LOC-007","Critical","0.86","High","High","86","Engineering","2026-09-10 06:00:00","2026-09-16 06:00:00","Pending",""
"TSK-0075","AST-0038","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Turnout at LOC-007","Critical","0.87","High","Low","103","Engineering","2026-09-10 09:00:00","2026-09-17 09:00:00","Pending",""
"TSK-0076","AST-0038","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Turnout at LOC-007","Medium","0.88","High","Medium","49","Engineering","2026-09-10 12:00:00","2026-09-18 12:00:00","Pending",""
"TSK-0077","AST-0039","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-007","Medium","0.89","Critical","High","66","Traction Distribution","2026-09-10 15:00:00","2026-09-19 15:00:00","Pending",""
"TSK-0078","AST-0039","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: OHE Mast at LOC-007","Critical","0.9","Critical","Low","83","Traction Distribution","2026-09-10 18:00:00","2026-09-20 18:00:00","In Progress",""
"TSK-0079","AST-0040","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-007","Critical","0.12","Medium","Medium","100","Traction Distribution","2026-09-10 21:00:00","2026-09-21 21:00:00","Pending",""
"TSK-0080","AST-0040","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Traction Substation at LOC-007","Medium","0.13","Medium","High","46","Traction Distribution","2026-09-11 00:00:00","2026-09-23 00:00:00","Pending",""
"TSK-0081","AST-0041","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Signal at LOC-007","Medium","0.14","High","Low","63","Signal & Telecommunication","2026-09-11 03:00:00","2026-09-24 03:00:00","Pending",""
"TSK-0082","AST-0041","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Signal at LOC-007","Critical","0.15","High","Medium","80","Signal & Telecommunication","2026-09-11 06:00:00","2026-09-25 06:00:00","Pending",""
"TSK-0083","AST-0042","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-007","Critical","0.16","High","High","97","Signal & Telecommunication","2026-09-11 09:00:00","2026-09-26 09:00:00","Pending",""
"TSK-0084","AST-0042","LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Axle Counter at LOC-007","Medium","0.17","High","Low","43","Signal & Telecommunication","2026-09-11 12:00:00","2026-09-13 12:00:00","Pending",""
"TSK-0085","AST-0043","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Track at LOC-008","Medium","0.18","Critical","Medium","60","Engineering","2026-09-11 15:00:00","2026-09-14 15:00:00","Scheduled",""
"TSK-0086","AST-0043","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Track at LOC-008","Critical","0.19","Critical","High","77","Engineering","2026-09-11 18:00:00","2026-09-15 18:00:00","Pending",""
"TSK-0087","AST-0044","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Turnout at LOC-008","Critical","0.2","Medium","Low","94","Engineering","2026-09-11 21:00:00","2026-09-16 21:00:00","Pending",""
"TSK-0088","AST-0044","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Turnout at LOC-008","Medium","0.21","Medium","Medium","40","Engineering","2026-09-12 00:00:00","2026-09-18 00:00:00","Pending",""
"TSK-0089","AST-0045","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-008","Medium","0.22","High","High","57","Traction Distribution","2026-09-12 03:00:00","2026-09-19 03:00:00","Pending",""
"TSK-0090","AST-0045","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: OHE Mast at LOC-008","Critical","0.23","High","Low","74","Traction Distribution","2026-09-12 06:00:00","2026-09-20 06:00:00","Pending",""
"TSK-0091","AST-0046","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-008","Critical","0.24","High","Medium","91","Traction Distribution","2026-09-12 09:00:00","2026-09-21 09:00:00","In Progress",""
"TSK-0092","AST-0046","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Traction Substation at LOC-008","Medium","0.25","High","High","37","Traction Distribution","2026-09-12 12:00:00","2026-09-22 12:00:00","Pending",""
"TSK-0093","AST-0047","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Signal at LOC-008","Medium","0.26","Critical","Low","54","Signal & Telecommunication","2026-09-12 15:00:00","2026-09-23 15:00:00","Pending",""
"TSK-0094","AST-0047","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Signal at LOC-008","Critical","0.27","Critical","Medium","71","Signal & Telecommunication","2026-09-12 18:00:00","2026-09-24 18:00:00","Pending",""
"TSK-0095","AST-0048","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-008","Critical","0.28","Medium","High","88","Signal & Telecommunication","2026-09-12 21:00:00","2026-09-25 21:00:00","Pending",""
"TSK-0096","AST-0048","LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Axle Counter at LOC-008","Medium","0.29","Medium","Low","105","Signal & Telecommunication","2026-09-13 00:00:00","2026-09-27 00:00:00","Pending",""
"TSK-0097","AST-0049","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Track at LOC-009","Medium","0.3","High","Medium","51","Engineering","2026-09-13 03:00:00","2026-09-28 03:00:00","Pending",""
"TSK-0098","AST-0049","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Track at LOC-009","Critical","0.31","High","High","68","Engineering","2026-09-13 06:00:00","2026-09-15 06:00:00","Pending",""
"TSK-0099","AST-0050","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Turnout at LOC-009","Critical","0.32","High","Low","85","Engineering","2026-09-13 09:00:00","2026-09-16 09:00:00","Pending",""
"TSK-0100","AST-0050","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Turnout at LOC-009","Medium","0.33","High","Medium","102","Engineering","2026-09-13 12:00:00","2026-09-17 12:00:00","Pending",""
"TSK-0101","AST-0051","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-009","Medium","0.34","Critical","High","48","Traction Distribution","2026-09-13 15:00:00","2026-09-18 15:00:00","Pending",""
"TSK-0102","AST-0051","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: OHE Mast at LOC-009","Critical","0.35","Critical","Low","65","Traction Distribution","2026-09-13 18:00:00","2026-09-19 18:00:00","Scheduled",""
"TSK-0103","AST-0052","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-009","Critical","0.36","Medium","Medium","82","Traction Distribution","2026-09-13 21:00:00","2026-09-20 21:00:00","Pending",""
"TSK-0104","AST-0052","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Inspection","Synthetic demo: Traction Substation at LOC-009","Medium","0.37","Medium","High","99","Traction Distribution","2026-09-14 00:00:00","2026-09-22 00:00:00","In Progress",""
"TSK-0105","AST-0053","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Preventive Maintenance","Synthetic demo: Signal at LOC-009","Medium","0.38","High","Low","45","Signal & Telecommunication","2026-09-14 03:00:00","2026-09-23 03:00:00","Pending",""
"TSK-0106","AST-0053","LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Condition Monitoring","Synthetic demo: Signal at LOC-009","Critical","0.39","High","Medium","62","Signal & Telecommunication","2026-09-14 06:00:00","2026-09-24 06:00:00","Pending",""
