"train_id","train_number","train_name","corridor","scheduled_start","scheduled_end","priority"
"TRN-019","12019","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-06 05:15:00","2026-09-06 08:50:00","Normal"
"TRN-020","12020","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-01 08:15:00","2026-09-01 09:50:00","Normal"
"TRN-021","12021","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-02 11:15:00","2026-09-02 13:20:00","Normal"
"TRN-022","12022","Guwahati Express Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-01 13:15:00","2026-09-01 15:50:00","High"
"TRN-023","12023","Guwahati Passenger Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-02 16:15:00","2026-09-02 19:20:00","Normal"
"TRN-024","12024","Guwahati Passenger Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-03 19:15:00","2026-09-03 22:50:00","Normal"
"TRN-025","12025","Guwahati Freight Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-04 03:15:00","2026-09-04 04:50:00","Normal"
"TRN-026","12026","Guwahati Express Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-05 06:15:00","2026-09-05 08:20:00","High"
"TRN-027","12027","Guwahati Passenger Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-06 09:15:00","2026-09-06 11:50:00","Normal"
"TRN-028","12028","Guwahati Passenger Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-01 12:15:00","2026-09-01 15:20:00","Normal"
"TRN-029","12029","Guwahati Passenger Simulation Service","Assam: Guwahati-Dibrugarh","2026-09-02 15:15:00","2026-09-02 18:50:00","Normal"
"TRN-030","12030","Patna Express Simulation Service","Bihar: Patna-Gaya","2026-09-05 10:15:00","2026-09-05 11:50:00","High"
"TRN-031","12031","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-06 13:15:00","2026-09-06 15:20:00","Normal"
"TRN-032","12032","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-01 16:15:00","2026-09-01 18:50:00","Normal"
"TRN-033","12033","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-02 19:15:00","2026-09-02 22:20:00","Normal"
"TRN-034","12034","Patna Freight Simulation Service","Bihar: Patna-Gaya","2026-09-03 03:15:00","2026-09-03 06:50:00","Normal"
"TRN-035","12035","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-04 06:15:00","2026-09-04 07:50:00","Normal"
"TRN-036","12036","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-05 09:15:00","2026-09-05 11:20:00","Normal"
"TRN-037","12037","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-06 12:15:00","2026-09-06 14:50:00","Normal"
"TRN-038","12038","Patna Express Simulation Service","Bihar: Patna-Gaya","2026-09-01 15:15:00","2026-09-01 18:20:00","High"
"TRN-039","12039","Patna Freight Simulation Service","Bihar: Patna-Gaya","2026-09-02 18:15:00","2026-09-02 21:50:00","Normal"
"TRN-040","12040","Patna Passenger Simulation Service","Bihar: Patna-Gaya","2026-09-03 21:15:00","2026-09-03 22:50:00","Normal"
"TRN-041","12041","Raipur Freight Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-03 07:15:00","2026-09-03 09:20:00","Normal"
"TRN-042","12042","Raipur Passenger Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-04 10:15:00","2026-09-04 12:50:00","Normal"
"TRN-043","12043","Raipur Passenger Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-05 13:15:00","2026-09-05 16:20:00","Normal"
"TRN-044","12044","Raipur Passenger Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-06 16:15:00","2026-09-06 19:50:00","Normal"
"TRN-045","12045","Raipur Express Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-01 19:15:00","2026-09-01 20:50:00","High"
"TRN-046","12046","Raipur Freight Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-02 03:15:00","2026-09-02 05:20:00","Normal"
"TRN-047","12047","Raipur Passenger Simulation Service","Chhattisgarh: Raipur-Bilaspur","2026-09-03 06:15:00","2026-09-03 08:50:00","Normal"
"TRN-048","12048","Madgaon Express Simulation Service","Goa: Madgaon-Vasco","2026-09-01 04:15:00","2026-09-01 07:20:00","High"
"TRN-049","12049","Madgaon Freight Simulation Service","Goa: Madgaon-Vasco","2026-09-02 07:15:00","2026-09-02 10:50:00","Normal"
"TRN-050","12050","Madgaon Passenger Simulation Service","Goa: Madgaon-Vasco","2026-09-03 10:15:00","2026-09-03 11:50:00","Normal"
"TRN-051","12051","Madgaon Passenger Simulation Service","Goa: Madgaon-Vasco","2026-09-04 13:15:00","2026-09-04 15:20:00","Normal"
"TRN-052","12052","Madgaon Express Simulation Service","Goa: Madgaon-Vasco","2026-09-05 16:15:00","2026-09-05 18:50:00","High"
"TRN-053","12053","Madgaon Passenger Simulation Service","Goa: Madgaon-Vasco","2026-09-06 19:15:00","2026-09-06 22:20:00","Normal"
"TRN-054","12054","Madgaon Freight Simulation Service","Goa: Madgaon-Vasco","2026-09-01 03:15:00","2026-09-01 06:50:00","Normal"
"TRN-055","12055","Madgaon Passenger Simulation Service","Goa: Madgaon-Vasco","2026-09-02 06:15:00","2026-09-02 07:50:00","Normal"
"TRN-056","12056","Madgaon Express Simulation Service","Goa: Madgaon-Vasco","2026-09-03 09:15:00","2026-09-03 11:20:00","High"
"TRN-057","12057","Madgaon Passenger Simulation Service","Goa: Madgaon-Vasco","2026-09-04 12:15:00","2026-09-04 14:50:00","Normal"
"TRN-058","12058","Ahmedabad Express Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-05 20:15:00","2026-09-05 23:20:00","High"
"TRN-059","12059","Ahmedabad Passenger Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-06 04:15:00","2026-09-06 07:50:00","Normal"
"TRN-060","12060","Ahmedabad Freight Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-01 07:15:00","2026-09-01 08:50:00","Normal"
"TRN-061","12061","Ahmedabad Passenger Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-02 10:15:00","2026-09-02 12:20:00","Normal"
"TRN-062","12062","Ahmedabad Express Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-03 13:15:00","2026-09-03 15:50:00","High"
"TRN-063","12063","Ahmedabad Passenger Simulation Service","Gujarat: Ahmedabad-Vadodara","2026-09-04 16:15:00","2026-09-04 19:20:00","Normal"
"TRN-064","12064","Ambala Express Simulation Service","Haryana: Ambala-Faridabad","2026-09-03 17:15:00","2026-09-03 20:50:00","High"
"TRN-065","12065","Ambala Passenger Simulation Service","Haryana: Ambala-Faridabad","2026-09-04 20:15:00","2026-09-04 21:50:00","Normal"
"TRN-066","12066","Ambala Passenger Simulation Service","Haryana: Ambala-Faridabad","2026-09-05 04:15:00","2026-09-05 06:20:00","Normal"
"TRN-067","12067","Ambala Freight Simulation Service","Haryana: Ambala-Faridabad","2026-09-06 07:15:00","2026-09-06 09:50:00","Normal"
"TRN-068","12068","Ambala Express Simulation Service","Haryana: Ambala-Faridabad","2026-09-01 10:15:00","2026-09-01 13:20:00","High"
"TRN-069","12069","Ambala Passenger Simulation Service","Haryana: Ambala-Faridabad","2026-09-02 13:15:00","2026-09-02 16:50:00","Normal"
"TRN-070","12070","Ambala Passenger Simulation Service","Haryana: Ambala-Faridabad","2026-09-03 16:15:00","2026-09-03 17:50:00","Normal"
"TRN-071","12071","Ambala Passenger Simulation Service","Haryana: Ambala-Faridabad","2026-09-04 19:15:00","2026-09-04 21:20:00","Normal"
"TRN-072","12072","Ambala Freight Simulation Service","Haryana: Ambala-Faridabad","2026-09-05 03:15:00","2026-09-05 05:50:00","Normal"
"TRN-073","12073","Shimla Express Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-01 14:15:00","2026-09-01 17:20:00","High"
"TRN-074","12074","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-02 17:15:00","2026-09-02 20:50:00","Normal"
"TRN-075","12075","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-03 20:15:00","2026-09-03 21:50:00","Normal"
"TRN-076","12076","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-04 04:15:00","2026-09-04 06:20:00","Normal"
"TRN-077","12077","Shimla Freight Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-05 07:15:00","2026-09-05 09:50:00","Normal"
"TRN-078","12078","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-06 10:15:00","2026-09-06 13:20:00","Normal"
"TRN-079","12079","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-01 13:15:00","2026-09-01 16:50:00","Normal"
"TRN-080","12080","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-02 16:15:00","2026-09-02 17:50:00","Normal"
"TRN-081","12081","Shimla Express Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-03 19:15:00","2026-09-03 21:20:00","High"
"TRN-082","12082","Shimla Freight Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-04 03:15:00","2026-09-04 05:50:00","Normal"
"TRN-083","12083","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-05 06:15:00","2026-09-05 09:20:00","Normal"
"TRN-084","12084","Shimla Passenger Simulation Service","Himachal Pradesh: Shimla-Kalka","2026-09-06 09:15:00","2026-09-06 12:50:00","Normal"
"TRN-085","12085","Ranchi Freight Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-05 11:15:00","2026-09-05 12:50:00","Normal"
"TRN-086","12086","Ranchi Passenger Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-06 14:15:00","2026-09-06 16:20:00","Normal"
"TRN-087","12087","Ranchi Passenger Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-01 17:15:00","2026-09-01 19:50:00","Normal"
"TRN-088","12088","Ranchi Passenger Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-02 20:15:00","2026-09-02 23:20:00","Normal"
"TRN-089","12089","Ranchi Express Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-03 04:15:00","2026-09-03 07:50:00","High"
"TRN-090","12090","Ranchi Freight Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-04 07:15:00","2026-09-04 08:50:00","Normal"
"TRN-091","12091","Ranchi Passenger Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-05 10:15:00","2026-09-05 12:20:00","Normal"
"TRN-092","12092","Ranchi Passenger Simulation Service","Jharkhand: Ranchi-Dhanbad","2026-09-06 13:15:00","2026-09-06 15:50:00","Normal"
"TRN-093","12093","Bengaluru Express Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-03 08:15:00","2026-09-03 11:20:00","High"
"TRN-094","12094","Bengaluru Freight Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-04 11:15:00","2026-09-04 14:50:00","Normal"
"TRN-095","12095","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-05 14:15:00","2026-09-05 15:50:00","Normal"
"TRN-096","12096","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-06 17:15:00","2026-09-06 19:20:00","Normal"
"TRN-097","12097","Bengaluru Express Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-01 20:15:00","2026-09-01 22:50:00","High"
"TRN-098","12098","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-02 04:15:00","2026-09-02 07:20:00","Normal"
"TRN-099","12099","Bengaluru Freight Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-03 07:15:00","2026-09-03 10:50:00","Normal"
"TRN-100","12100","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-04 10:15:00","2026-09-04 11:50:00","Normal"
"TRN-101","12101","Bengaluru Express Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-05 13:15:00","2026-09-05 15:20:00","High"
"TRN-102","12102","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-06 16:15:00","2026-09-06 18:50:00","Normal"
"TRN-103","12103","Bengaluru Passenger Simulation Service","Karnataka: Bengaluru-Hubballi","2026-09-01 19:15:00","2026-09-01 22:20:00","Normal"
"TRN-104","12104","Ernakulam Express Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-01 05:15:00","2026-09-01 08:50:00","High"
"TRN-105","12105","Ernakulam Passenger Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-02 08:15:00","2026-09-02 09:50:00","Normal"
"TRN-106","12106","Ernakulam Freight Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-03 11:15:00","2026-09-03 13:20:00","Normal"
"TRN-107","12107","Ernakulam Passenger Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-04 14:15:00","2026-09-04 16:50:00","Normal"
"TRN-108","12108","Ernakulam Express Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-05 17:15:00","2026-09-05 20:20:00","High"
"TRN-109","12109","Ernakulam Passenger Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-06 20:15:00","2026-09-06 23:50:00","Normal"
"TRN-110","12110","Ernakulam Passenger Simulation Service","Kerala: Ernakulam-Thiruvananthapuram","2026-09-01 04:15:00","2026-09-01 05:50:00","Normal"
"TRN-111","12111","Bhopal Express Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-05 21:15:00","2026-09-05 23:20:00","High"
"TRN-112","12112","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-06 05:15:00","2026-09-06 07:50:00","Normal"
"TRN-113","12113","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-01 08:15:00","2026-09-01 11:20:00","Normal"
"TRN-114","12114","Bhopal Freight Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-02 11:15:00","2026-09-02 14:50:00","Normal"
"TRN-115","12115","Bhopal Express Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-03 14:15:00","2026-09-03 15:50:00","High"
"TRN-116","12116","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-04 17:15:00","2026-09-04 19:20:00","Normal"
"TRN-117","12117","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-05 20:15:00","2026-09-05 22:50:00","Normal"
"TRN-118","12118","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-06 04:15:00","2026-09-06 07:20:00","Normal"
"TRN-119","12119","Bhopal Freight Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-01 07:15:00","2026-09-01 10:50:00","Normal"
"TRN-120","12120","Bhopal Passenger Simulation Service","Madhya Pradesh: Bhopal-Jabalpur","2026-09-02 10:15:00","2026-09-02 11:50:00","Normal"
"TRN-121","12121","Mumbai Express Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-03 18:15:00","2026-09-03 20:20:00","High"
"TRN-122","12122","Mumbai Passenger Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-04 21:15:00","2026-09-04 23:50:00","Normal"
"TRN-123","12123","Mumbai Passenger Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-05 05:15:00","2026-09-05 08:20:00","Normal"
"TRN-124","12124","Mumbai Passenger Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-06 08:15:00","2026-09-06 11:50:00","Normal"
"TRN-125","12125","Mumbai Freight Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-01 11:15:00","2026-09-01 12:50:00","Normal"
"TRN-126","12126","Mumbai Passenger Simulation Service","Maharashtra: Mumbai-Nagpur","2026-09-02 14:15:00","2026-09-02 16:20:00","Normal"
"TRN-127","12127","Imphal Freight Simulation Service","Manipur: Imphal-Jiribam","2026-09-01 15:15:00","2026-09-01 17:50:00","Normal"
"TRN-128","12128","Imphal Passenger Simulation Service","Manipur: Imphal-Jiribam","2026-09-02 18:15:00","2026-09-02 21:20:00","Normal"
"TRN-129","12129","Imphal Passenger Simulation Service","Manipur: Imphal-Jiribam","2026-09-03 21:15:00","2026-09-04 00:50:00","Normal"
"TRN-130","12130","Imphal Passenger Simulation Service","Manipur: Imphal-Jiribam","2026-09-04 05:15:00","2026-09-04 06:50:00","Normal"
"TRN-131","12131","Imphal Express Simulation Service","Manipur: Imphal-Jiribam","2026-09-05 08:15:00","2026-09-05 10:20:00","High"
"TRN-132","12132","Imphal Freight Simulation Service","Manipur: Imphal-Jiribam","2026-09-06 11:15:00","2026-09-06 13:50:00","Normal"
"TRN-133","12133","Imphal Passenger Simulation Service","Manipur: Imphal-Jiribam","2026-09-01 14:15:00","2026-09-01 17:20:00","Normal"
"TRN-134","12134","Imphal Passenger Simulation Service","Manipur: Imphal-Jiribam","2026-09-02 17:15:00","2026-09-02 20:50:00","Normal"
"TRN-135","12135","Imphal Express Simulation Service","Manipur: Imphal-Jiribam","2026-09-03 20:15:00","2026-09-03 21:50:00","High"
"TRN-136","12136","Shillong Express Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-05 12:15:00","2026-09-05 14:20:00","High"
"TRN-137","12137","Shillong Freight Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-06 15:15:00","2026-09-06 17:50:00","Normal"
"TRN-138","12138","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-01 18:15:00","2026-09-01 21:20:00","Normal"
"TRN-139","12139","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-02 21:15:00","2026-09-03 00:50:00","Normal"
"TRN-140","12140","Shillong Express Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-03 05:15:00","2026-09-03 06:50:00","High"
"TRN-141","12141","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-04 08:15:00","2026-09-04 10:20:00","Normal"
"TRN-142","12142","Shillong Freight Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-05 11:15:00","2026-09-05 13:50:00","Normal"
"TRN-143","12143","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-06 14:15:00","2026-09-06 17:20:00","Normal"
"TRN-144","12144","Shillong Express Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-01 17:15:00","2026-09-01 20:50:00","High"
"TRN-145","12145","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-02 20:15:00","2026-09-02 21:50:00","Normal"
"TRN-146","12146","Shillong Passenger Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-03 04:15:00","2026-09-03 06:20:00","Normal"
"TRN-147","12147","Shillong Freight Simulation Service","Meghalaya: Shillong-Guwahati","2026-09-04 07:15:00","2026-09-04 09:50:00","Normal"
"TRN-148","12148","Aizawl Express Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-03 09:15:00","2026-09-03 12:20:00","High"
"TRN-149","12149","Aizawl Passenger Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-04 12:15:00","2026-09-04 15:50:00","Normal"
"TRN-150","12150","Aizawl Freight Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-05 15:15:00","2026-09-05 16:50:00","Normal"
"TRN-151","12151","Aizawl Passenger Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-06 18:15:00","2026-09-06 20:20:00","Normal"
"TRN-152","12152","Aizawl Express Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-01 21:15:00","2026-09-01 23:50:00","High"
"TRN-153","12153","Aizawl Passenger Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-02 05:15:00","2026-09-02 08:20:00","Normal"
"TRN-154","12154","Aizawl Passenger Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-03 08:15:00","2026-09-03 11:50:00","Normal"
"TRN-155","12155","Aizawl Freight Simulation Service","Mizoram: Aizawl-Kolasib","2026-09-04 11:15:00","2026-09-04 12:50:00","Normal"
"TRN-156","12156","Dimapur Express Simulation Service","Nagaland: Dimapur-Kohima","2026-09-01 06:15:00","2026-09-01 08:20:00","High"
"TRN-157","12157","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-02 09:15:00","2026-09-02 11:50:00","Normal"
"TRN-158","12158","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-03 12:15:00","2026-09-03 15:20:00","Normal"
"TRN-159","12159","Dimapur Freight Simulation Service","Nagaland: Dimapur-Kohima","2026-09-04 15:15:00","2026-09-04 18:50:00","Normal"
"TRN-160","12160","Dimapur Express Simulation Service","Nagaland: Dimapur-Kohima","2026-09-05 18:15:00","2026-09-05 19:50:00","High"
"TRN-161","12161","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-06 21:15:00","2026-09-06 23:20:00","Normal"
"TRN-162","12162","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-01 05:15:00","2026-09-01 07:50:00","Normal"
"TRN-163","12163","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-02 08:15:00","2026-09-02 11:20:00","Normal"
"TRN-164","12164","Dimapur Freight Simulation Service","Nagaland: Dimapur-Kohima","2026-09-03 11:15:00","2026-09-03 14:50:00","Normal"
"TRN-165","12165","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-04 14:15:00","2026-09-04 15:50:00","Normal"
"TRN-166","12166","Dimapur Passenger Simulation Service","Nagaland: Dimapur-Kohima","2026-09-05 17:15:00","2026-09-05 19:20:00","Normal"
"TRN-167","12167","Bhubaneswar Express Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-05 03:15:00","2026-09-05 05:50:00","High"
"TRN-168","12168","Bhubaneswar Passenger Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-06 06:15:00","2026-09-06 09:20:00","Normal"
"TRN-169","12169","Bhubaneswar Passenger Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-01 09:15:00","2026-09-01 12:50:00","Normal"
"TRN-170","12170","Bhubaneswar Passenger Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-02 12:15:00","2026-09-02 13:50:00","Normal"
"TRN-171","12171","Bhubaneswar Freight Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-03 15:15:00","2026-09-03 17:20:00","Normal"
"TRN-172","12172","Bhubaneswar Passenger Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-04 18:15:00","2026-09-04 20:50:00","Normal"
"TRN-173","12173","Bhubaneswar Passenger Simulation Service","Odisha: Bhubaneswar-Cuttack","2026-09-05 21:15:00","2026-09-06 00:20:00","Normal"
"TRN-174","12174","Ludhiana Freight Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-03 19:15:00","2026-09-03 22:50:00","Normal"
"TRN-175","12175","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-04 03:15:00","2026-09-04 04:50:00","Normal"
"TRN-176","12176","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-05 06:15:00","2026-09-05 08:20:00","Normal"
"TRN-177","12177","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-06 09:15:00","2026-09-06 11:50:00","Normal"
"TRN-178","12178","Ludhiana Express Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-01 12:15:00","2026-09-01 15:20:00","High"
"TRN-179","12179","Ludhiana Freight Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-02 15:15:00","2026-09-02 18:50:00","Normal"
"TRN-180","12180","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-03 18:15:00","2026-09-03 19:50:00","Normal"
"TRN-181","12181","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-04 21:15:00","2026-09-04 23:20:00","Normal"
"TRN-182","12182","Ludhiana Express Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-05 05:15:00","2026-09-05 07:50:00","High"
"TRN-183","12183","Ludhiana Passenger Simulation Service","Punjab: Ludhiana-Amritsar","2026-09-06 08:15:00","2026-09-06 11:20:00","Normal"
"TRN-184","12184","Jaipur Express Simulation Service","Rajasthan: Jaipur-Jodhpur","2026-09-01 16:15:00","2026-09-01 19:50:00","High"
"TRN-185","12185","Jaipur Freight Simulation Service","Rajasthan: Jaipur-Jodhpur","2026-09-02 19:15:00","2026-09-02 20:50:00","Normal"
