asset_type,asset_condition,asset_criticality,asset_status,severity,task_type,traffic_impact,department,corridor,duration_minutes,simulated_failure_signal,days_since_maintenance,days_to_next_maintenance,deadline_hours,observation,failure_within_30_days
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,60.0,0.26,113,39,90.0,0,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,60.0,0.26,113,39,90.0,1,0
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,60.0,0.26,113,39,90.0,2,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,77.0,0.27,81,71,117.0,0,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,77.0,0.27,81,71,117.0,1,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,77.0,0.27,81,71,117.0,2,1
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,94.0,0.28,81,71,144.0,0,1
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,94.0,0.28,81,71,144.0,1,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,94.0,0.28,81,71,144.0,2,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,40.0,0.29,50,11,171.0,0,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,40.0,0.29,50,11,171.0,1,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,40.0,0.29,50,11,171.0,2,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,57.0,0.3,50,11,198.0,0,0
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,57.0,0.3,50,11,198.0,1,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,57.0,0.3,50,11,198.0,2,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,74.0,0.31,171,42,225.0,0,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,74.0,0.31,171,42,225.0,1,0
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,74.0,0.31,171,42,225.0,2,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,91.0,0.32,171,42,252.0,0,0
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,91.0,0.32,171,42,252.0,1,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,91.0,0.32,171,42,252.0,2,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,37.0,0.33,139,74,279.0,0,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,37.0,0.33,139,74,279.0,1,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,37.0,0.33,139,74,279.0,2,1
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,54.0,0.34,139,74,306.0,0,1
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,54.0,0.34,139,74,306.0,1,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,54.0,0.34,139,74,306.0,2,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,71.0,0.35,108,14,333.0,0,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,71.0,0.35,108,14,333.0,1,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,71.0,0.35,108,14,333.0,2,1
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,88.0,0.36,108,14,360.0,0,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,88.0,0.36,108,14,360.0,1,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,88.0,0.36,108,14,360.0,2,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,105.0,0.37,76,45,387.0,0,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,105.0,0.37,76,45,387.0,1,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,105.0,0.37,76,45,387.0,2,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,51.0,0.38,76,45,414.0,0,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,51.0,0.38,76,45,414.0,1,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,51.0,0.38,76,45,414.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,68.0,0.39,45,77,441.0,0,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,68.0,0.39,45,77,441.0,1,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,68.0,0.39,45,77,441.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,85.0,0.4,45,77,132.0,0,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,85.0,0.4,45,77,132.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,85.0,0.4,45,77,132.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,102.0,0.41,166,17,159.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,102.0,0.41,166,17,159.0,1,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,102.0,0.41,166,17,159.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,48.0,0.42,166,17,186.0,0,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,48.0,0.42,166,17,186.0,1,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,48.0,0.42,166,17,186.0,2,1
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,65.0,0.43,134,48,213.0,0,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,65.0,0.43,134,48,213.0,1,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,65.0,0.43,134,48,213.0,2,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,82.0,0.44,134,48,240.0,0,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,82.0,0.44,134,48,240.0,1,1
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,82.0,0.44,134,48,240.0,2,0
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,99.0,0.45,103,80,267.0,0,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,99.0,0.45,103,80,267.0,1,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,99.0,0.45,103,80,267.0,2,0
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,45.0,0.46,103,80,294.0,0,0
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,45.0,0.46,103,80,294.0,1,0
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,45.0,0.46,103,80,294.0,2,0
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,62.0,0.47,71,20,321.0,0,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,62.0,0.47,71,20,321.0,1,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,62.0,0.47,71,20,321.0,2,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,79.0,0.48,71,20,348.0,0,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,79.0,0.48,71,20,348.0,1,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,79.0,0.48,71,20,348.0,2,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,96.0,0.49,40,51,375.0,0,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,96.0,0.49,40,51,375.0,1,1
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,96.0,0.49,40,51,375.0,2,0
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,42.0,0.5,40,51,402.0,0,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,42.0,0.5,40,51,402.0,1,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,42.0,0.5,40,51,402.0,2,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,59.0,0.51,161,83,429.0,0,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,59.0,0.51,161,83,429.0,1,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,59.0,0.51,161,83,429.0,2,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,76.0,0.52,161,83,456.0,0,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,76.0,0.52,161,83,456.0,1,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,76.0,0.52,161,83,456.0,2,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,93.0,0.53,129,23,483.0,0,1
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,93.0,0.53,129,23,483.0,1,1
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,93.0,0.53,129,23,483.0,2,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,39.0,0.54,129,23,174.0,0,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,39.0,0.54,129,23,174.0,1,0
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,39.0,0.54,129,23,174.0,2,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,56.0,0.55,98,54,201.0,0,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,56.0,0.55,98,54,201.0,1,0
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,56.0,0.55,98,54,201.0,2,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,73.0,0.56,98,54,228.0,0,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,73.0,0.56,98,54,228.0,1,0
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,73.0,0.56,98,54,228.0,2,1
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,90.0,0.57,66,86,255.0,0,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,90.0,0.57,66,86,255.0,1,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,90.0,0.57,66,86,255.0,2,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,36.0,0.58,66,86,282.0,0,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,36.0,0.58,66,86,282.0,1,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,36.0,0.58,66,86,282.0,2,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,53.0,0.59,59,26,309.0,0,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,53.0,0.59,59,26,309.0,1,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,53.0,0.59,59,26,309.0,2,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,70.0,0.6,59,26,336.0,0,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,70.0,0.6,59,26,336.0,1,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,70.0,0.6,59,26,336.0,2,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,87.0,0.61,180,32,363.0,0,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,87.0,0.61,180,32,363.0,1,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,87.0,0.61,180,32,363.0,2,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,104.0,0.62,180,32,390.0,0,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,104.0,0.62,180,32,390.0,1,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,104.0,0.62,180,32,390.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,50.0,0.63,148,64,417.0,0,0
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,50.0,0.63,148,64,417.0,1,0
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,50.0,0.63,148,64,417.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,67.0,0.64,148,64,444.0,0,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,67.0,0.64,148,64,444.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,67.0,0.64,148,64,444.0,2,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,84.0,0.65,117,4,471.0,0,1
