"location_id","corridor","state","kilometer","latitude","longitude"
"LOC-030","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","230.5","22.0797","82.1409"
"LOC-031","Goa: Madgaon-Vasco","Goa","19.7","15.2832","73.9862"
"LOC-032","Goa: Madgaon-Vasco","Goa","63.9","15.30634","73.95122"
"LOC-033","Goa: Madgaon-Vasco","Goa","103","15.32948","73.91624"
"LOC-034","Goa: Madgaon-Vasco","Goa","147.2","15.35262","73.88126"
"LOC-035","Goa: Madgaon-Vasco","Goa","191.4","15.37576","73.84628"
"LOC-036","Goa: Madgaon-Vasco","Goa","230.5","15.3989","73.8113"
"LOC-037","Gujarat: Ahmedabad-Vadodara","Gujarat","19.7","23.0225","72.5714"
"LOC-038","Gujarat: Ahmedabad-Vadodara","Gujarat","63.9","22.87944","72.69336"
"LOC-039","Gujarat: Ahmedabad-Vadodara","Gujarat","103","22.73638","72.81532"
"LOC-040","Gujarat: Ahmedabad-Vadodara","Gujarat","147.2","22.59332","72.93728"
"LOC-041","Gujarat: Ahmedabad-Vadodara","Gujarat","191.4","22.45026","73.05924"
"LOC-042","Gujarat: Ahmedabad-Vadodara","Gujarat","230.5","22.3072","73.1812"
"LOC-043","Haryana: Ambala-Faridabad","Haryana","19.7","30.3782","76.7767"
"LOC-044","Haryana: Ambala-Faridabad","Haryana","63.9","29.98434","76.88492"
"LOC-045","Haryana: Ambala-Faridabad","Haryana","103","29.59048","76.99314"
"LOC-046","Haryana: Ambala-Faridabad","Haryana","147.2","29.19662","77.10136"
"LOC-047","Haryana: Ambala-Faridabad","Haryana","191.4","28.80276","77.20958"
"LOC-048","Haryana: Ambala-Faridabad","Haryana","230.5","28.4089","77.3178"
"LOC-049","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","19.7","31.1048","77.1734"
"LOC-050","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","63.9","31.0518","77.12686"
"LOC-051","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","103","30.9988","77.08032"
"LOC-052","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","147.2","30.9458","77.03378"
"LOC-053","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","191.4","30.8928","76.98724"
"LOC-054","Himachal Pradesh: Shimla-Kalka","Himachal Pradesh","230.5","30.8398","76.9407"
"LOC-055","Jharkhand: Ranchi-Dhanbad","Jharkhand","19.7","23.3441","85.3096"
"LOC-056","Jharkhand: Ranchi-Dhanbad","Jharkhand","63.9","23.43442","85.53376"
"LOC-057","Jharkhand: Ranchi-Dhanbad","Jharkhand","103","23.52474","85.75792"
"LOC-058","Jharkhand: Ranchi-Dhanbad","Jharkhand","147.2","23.61506","85.98208"
"LOC-059","Jharkhand: Ranchi-Dhanbad","Jharkhand","191.4","23.70538","86.20624"
"LOC-060","Jharkhand: Ranchi-Dhanbad","Jharkhand","230.5","23.7957","86.4304"
"LOC-061","Karnataka: Bengaluru-Hubballi","Karnataka","19.7","12.9716","77.5946"
"LOC-062","Karnataka: Bengaluru-Hubballi","Karnataka","63.9","13.45022","77.10048"
"LOC-063","Karnataka: Bengaluru-Hubballi","Karnataka","103","13.92884","76.60636"
"LOC-064","Karnataka: Bengaluru-Hubballi","Karnataka","147.2","14.40746","76.11224"
"LOC-065","Karnataka: Bengaluru-Hubballi","Karnataka","191.4","14.88608","75.61812"
"LOC-066","Karnataka: Bengaluru-Hubballi","Karnataka","230.5","15.3647","75.124"
"LOC-067","Kerala: Ernakulam-Thiruvananthapuram","Kerala","19.7","9.9816","76.2999"
"LOC-068","Kerala: Ernakulam-Thiruvananthapuram","Kerala","63.9","9.6901","76.42724"
"LOC-069","Kerala: Ernakulam-Thiruvananthapuram","Kerala","103","9.3986","76.55458"
"LOC-070","Kerala: Ernakulam-Thiruvananthapuram","Kerala","147.2","9.1071","76.68192"
"LOC-071","Kerala: Ernakulam-Thiruvananthapuram","Kerala","191.4","8.8156","76.80926"
"LOC-072","Kerala: Ernakulam-Thiruvananthapuram","Kerala","230.5","8.5241","76.9366"
"LOC-073","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","19.7","23.2599","77.4126"
"LOC-074","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","63.9","23.24422","77.92736"
"LOC-075","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","103","23.22854","78.44212"
"LOC-076","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","147.2","23.21286","78.95688"
"LOC-077","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","191.4","23.19718","79.47164"
"LOC-078","Madhya Pradesh: Bhopal-Jabalpur","Madhya Pradesh","230.5","23.1815","79.9864"
"LOC-079","Maharashtra: Mumbai-Nagpur","Maharashtra","19.7","19.076","72.8777"
"LOC-080","Maharashtra: Mumbai-Nagpur","Maharashtra","63.9","19.48996","74.1198"
"LOC-081","Maharashtra: Mumbai-Nagpur","Maharashtra","103","19.90392","75.3619"
"LOC-082","Maharashtra: Mumbai-Nagpur","Maharashtra","147.2","20.31788","76.604"
"LOC-083","Maharashtra: Mumbai-Nagpur","Maharashtra","191.4","20.73184","77.8461"
"LOC-084","Maharashtra: Mumbai-Nagpur","Maharashtra","230.5","21.1458","79.0882"
"LOC-085","Manipur: Imphal-Jiribam","Manipur","19.7","24.817","93.9368"
"LOC-086","Manipur: Imphal-Jiribam","Manipur","63.9","24.8134","93.77344"
"LOC-087","Manipur: Imphal-Jiribam","Manipur","103","24.8098","93.61008"
"LOC-088","Manipur: Imphal-Jiribam","Manipur","147.2","24.8062","93.44672"
"LOC-089","Manipur: Imphal-Jiribam","Manipur","191.4","24.8026","93.28336"
"LOC-090","Manipur: Imphal-Jiribam","Manipur","230.5","24.799","93.12"
"LOC-091","Meghalaya: Shillong-Guwahati","Meghalaya","19.7","25.5788","91.8933"
"LOC-092","Meghalaya: Shillong-Guwahati","Meghalaya","63.9","25.69194","91.86188"
"LOC-093","Meghalaya: Shillong-Guwahati","Meghalaya","103","25.80508","91.83046"
"LOC-094","Meghalaya: Shillong-Guwahati","Meghalaya","147.2","25.91822","91.79904"
"LOC-095","Meghalaya: Shillong-Guwahati","Meghalaya","191.4","26.03136","91.76762"
"LOC-096","Meghalaya: Shillong-Guwahati","Meghalaya","230.5","26.1445","91.7362"
"LOC-097","Mizoram: Aizawl-Kolasib","Mizoram","19.7","23.7271","92.7176"
"LOC-098","Mizoram: Aizawl-Kolasib","Mizoram","63.9","23.8266","92.70936"
"LOC-099","Mizoram: Aizawl-Kolasib","Mizoram","103","23.9261","92.70112"
"LOC-100","Mizoram: Aizawl-Kolasib","Mizoram","147.2","24.0256","92.69288"
"LOC-101","Mizoram: Aizawl-Kolasib","Mizoram","191.4","24.1251","92.68464"
"LOC-102","Mizoram: Aizawl-Kolasib","Mizoram","230.5","24.2246","92.6764"
"LOC-103","Nagaland: Dimapur-Kohima","Nagaland","19.7","25.904","93.727"
"LOC-104","Nagaland: Dimapur-Kohima","Nagaland","63.9","25.85822","93.80332"
"LOC-105","Nagaland: Dimapur-Kohima","Nagaland","103","25.81244","93.87964"
"LOC-106","Nagaland: Dimapur-Kohima","Nagaland","147.2","25.76666","93.95596"
"LOC-107","Nagaland: Dimapur-Kohima","Nagaland","191.4","25.72088","94.03228"
"LOC-108","Nagaland: Dimapur-Kohima","Nagaland","230.5","25.6751","94.1086"
"LOC-109","Odisha: Bhubaneswar-Cuttack","Odisha","19.7","20.2961","85.8245"
"LOC-110","Odisha: Bhubaneswar-Cuttack","Odisha","63.9","20.32938","85.8362"
"LOC-111","Odisha: Bhubaneswar-Cuttack","Odisha","103","20.36266","85.8479"
"LOC-112","Odisha: Bhubaneswar-Cuttack","Odisha","147.2","20.39594","85.8596"
"LOC-113","Odisha: Bhubaneswar-Cuttack","Odisha","191.4","20.42922","85.8713"
"LOC-114","Odisha: Bhubaneswar-Cuttack","Odisha","230.5","20.4625","85.883"
"LOC-115","Punjab: Ludhiana-Amritsar","Punjab","19.7","30.901","75.8573"
"LOC-116","Punjab: Ludhiana-Amritsar","Punjab","63.9","31.0476","75.6603"
"LOC-117","Punjab: Ludhiana-Amritsar","Punjab","103","31.1942","75.4633"
"LOC-118","Punjab: Ludhiana-Amritsar","Punjab","147.2","31.3408","75.2663"
"LOC-119","Punjab: Ludhiana-Amritsar","Punjab","191.4","31.4874","75.0693"
"LOC-120","Punjab: Ludhiana-Amritsar","Punjab","230.5","31.634","74.8723"
"LOC-121","Rajasthan: Jaipur-Jodhpur","Rajasthan","19.7","26.9124","75.7873"
"LOC-122","Rajasthan: Jaipur-Jodhpur","Rajasthan","63.9","26.7777","75.2347"
"LOC-123","Rajasthan: Jaipur-Jodhpur","Rajasthan","103","26.643","74.6821"
"LOC-124","Rajasthan: Jaipur-Jodhpur","Rajasthan","147.2","26.5083","74.1295"
"LOC-125","Rajasthan: Jaipur-Jodhpur","Rajasthan","191.4","26.3736","73.5769"
"LOC-126","Rajasthan: Jaipur-Jodhpur","Rajasthan","230.5","26.2389","73.0243"
"LOC-127","Sikkim: Gangtok-Rangpo","Sikkim","19.7","27.3389","88.6065"
"LOC-128","Sikkim: Gangtok-Rangpo","Sikkim","63.9","27.30652","88.5914"
"LOC-129","Sikkim: Gangtok-Rangpo","Sikkim","103","27.27414","88.5763"
"LOC-130","Sikkim: Gangtok-Rangpo","Sikkim","147.2","27.24176","88.5612"
"LOC-131","Sikkim: Gangtok-Rangpo","Sikkim","191.4","27.20938","88.5461"
"LOC-132","Sikkim: Gangtok-Rangpo","Sikkim","230.5","27.177","88.531"
"LOC-133","Tamil Nadu: Chennai-Madurai","Tamil Nadu","19.7","13.0827","80.2707"
"LOC-134","Tamil Nadu: Chennai-Madurai","Tamil Nadu","63.9","12.4512","79.84052"
"LOC-135","Tamil Nadu: Chennai-Madurai","Tamil Nadu","103","11.8197","79.41034"
"LOC-136","Tamil Nadu: Chennai-Madurai","Tamil Nadu","147.2","11.1882","78.98016"
"LOC-137","Tamil Nadu: Chennai-Madurai","Tamil Nadu","191.4","10.5567","78.54998"
"LOC-138","Tamil Nadu: Chennai-Madurai","Tamil Nadu","230.5","9.9252","78.1198"
"LOC-139","Telangana: Hyderabad-Warangal","Telangana","19.7","17.385","78.4867"
"LOC-140","Telangana: Hyderabad-Warangal","Telangana","63.9","17.50178","78.70818"
"LOC-141","Telangana: Hyderabad-Warangal","Telangana","103","17.61856","78.92966"
"LOC-142","Telangana: Hyderabad-Warangal","Telangana","147.2","17.73534","79.15114"
"LOC-143","Telangana: Hyderabad-Warangal","Telangana","191.4","17.85212","79.37262"
"LOC-144","Telangana: Hyderabad-Warangal","Telangana","230.5","17.9689","79.5941"
"LOC-145","Tripura: Agartala-Dharmanagar","Tripura","19.7","23.8315","91.2868"
"LOC-146","Tripura: Agartala-Dharmanagar","Tripura","63.9","23.93854","91.46278"
"LOC-147","Tripura: Agartala-Dharmanagar","Tripura","103","24.04558","91.63876"
"LOC-148","Tripura: Agartala-Dharmanagar","Tripura","147.2","24.15262","91.81474"
"LOC-149","Tripura: Agartala-Dharmanagar","Tripura","191.4","24.25966","91.99072"
"LOC-150","Tripura: Agartala-Dharmanagar","Tripura","230.5","24.3667","92.1667"
"LOC-151","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","19.7","26.8467","80.9462"
"LOC-152","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","63.9","26.54088","81.35174"
"LOC-153","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","103","26.23506","81.75728"
"LOC-154","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","147.2","25.92924","82.16282"
"LOC-155","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","191.4","25.62342","82.56836"
"LOC-156","Uttar Pradesh: Lucknow-Varanasi","Uttar Pradesh","230.5","25.3176","82.9739"
"LOC-157","Uttarakhand: Dehradun-Haridwar","Uttarakhand","19.7","30.3165","78.0322"
"LOC-158","Uttarakhand: Dehradun-Haridwar","Uttarakhand","63.9","30.24234","78.0586"
"LOC-159","Uttarakhand: Dehradun-Haridwar","Uttarakhand","103","30.16818","78.085"
"LOC-160","Uttarakhand: Dehradun-Haridwar","Uttarakhand","147.2","30.09402","78.1114"
"LOC-161","Uttarakhand: Dehradun-Haridwar","Uttarakhand","191.4","30.01986","78.1378"
"LOC-162","Uttarakhand: Dehradun-Haridwar","Uttarakhand","230.5","29.9457","78.1642"
"LOC-163","West Bengal: Kolkata-Siliguri","West Bengal","19.7","22.5726","88.3639"
"LOC-164","West Bengal: Kolkata-Siliguri","West Bengal","63.9","23.4035","88.37018"
"LOC-165","West Bengal: Kolkata-Siliguri","West Bengal","103","24.2344","88.37646"
"LOC-166","West Bengal: Kolkata-Siliguri","West Bengal","147.2","25.0653","88.38274"
"LOC-167","West Bengal: Kolkata-Siliguri","West Bengal","191.4","25.8962","88.38902"
"LOC-168","West Bengal: Kolkata-Siliguri","West Bengal","230.5","26.7271","88.3953"
"NET-169","National Connectivity Backbone","Himachal Pradesh","19.7","31.1048","77.1734"
"NET-170","National Connectivity Backbone","Punjab","19.7","30.901","75.8573"
"NET-171","National Connectivity Backbone","Haryana","19.7","30.3782","76.7767"
"NET-172","National Connectivity Backbone","Uttarakhand","19.7","30.3165","78.0322"
"NET-173","National Connectivity Backbone","Uttar Pradesh","19.7","26.8467","80.9462"
"NET-174","National Connectivity Backbone","Rajasthan","19.7","26.9124","75.7873"
"NET-175","National Connectivity Backbone","Gujarat","19.7","23.0225","72.5714"
"NET-176","National Connectivity Backbone","Maharashtra","19.7","19.076","72.8777"
"NET-177","National Connectivity Backbone","Goa","19.7","15.2832","73.9862"
"NET-178","National Connectivity Backbone","Karnataka","19.7","12.9716","77.5946"
"NET-179","National Connectivity Backbone","Kerala","19.7","9.9816","76.2999"
"NET-180","National Connectivity Backbone","Tamil Nadu","19.7","13.0827","80.2707"
"NET-181","National Connectivity Backbone","Andhra Pradesh","19.7","16.5062","80.648"
"NET-182","National Connectivity Backbone","Telangana","19.7","17.385","78.4867"
"NET-183","National Connectivity Backbone","Madhya Pradesh","19.7","23.2599","77.4126"
"NET-184","National Connectivity Backbone","Chhattisgarh","19.7","21.2514","81.6296"
"NET-185","National Connectivity Backbone","Odisha","19.7","20.2961","85.8245"
"NET-186","National Connectivity Backbone","West Bengal","19.7","22.5726","88.3639"
"NET-187","National Connectivity Backbone","Jharkhand","19.7","23.3441","85.3096"
"NET-188","National Connectivity Backbone","Bihar","19.7","25.5941","85.1376"
"NET-189","National Connectivity Backbone","Sikkim","19.7","27.3389","88.6065"
"NET-190","National Connectivity Backbone","Assam","19.7","26.1445","91.7362"
"NET-191","National Connectivity Backbone","Arunachal Pradesh","19.7","27.0844","93.6053"
"NET-192","National Connectivity Backbone","Nagaland","19.7","25.904","93.727"
"NET-193","National Connectivity Backbone","Manipur","19.7","24.817","93.9368"
"NET-194","National Connectivity Backbone","Mizoram","19.7","23.7271","92.7176"
"NET-195","National Connectivity Backbone","Tripura","19.7","23.8315","91.2868"
"NET-196","National Connectivity Backbone","Meghalaya","19.7","25.5788","91.8933"
